Latin Name,Common Name,Habit,Width,Moisture,Medicinal Rating,image
Allium canadense mobilense,Canadian Garlic,Bulb,0.2,We,2,https://plants.usda.gov/gallery/standard/alcam_001_svp.jpg
Cucurbita maxima,Winter Squash,Annual Climber,5,M,3,https://cdn.pixabay.com/photo/2018/09/30/09/02/winter-squash-3712957__480.jpg
Atriplex halimus,"Sea Orach, Saltbush",Shrub,3,M,1,https://pfaf.org/Admin/PlantImages/AtriplexHalimus2.jpg
Hippophae rhamnoides,"Sea Buckthorn, Seaberry",Shrub,2.5,We,5,https://cdn.pixabay.com/photo/2017/10/29/12/40/sea-buckthorn-2899651__480.jpg
Oryza sativa,"Rice, Common Rice",Annual,0.3,Wa,2,https://cdn.pixabay.com/photo/2020/09/04/16/42/rice-crop-5544415__480.jpg
Solanum lycopersicum,"Tomato, Garden Tomato",Annual,1.5,M,3,https://cdn.pixabay.com/photo/2014/06/10/17/04/tomatoes-366166__480.jpg
Semiarundinaria fastuosa,"Narihiradake, Narihira bamboo",Bamboo,3,M,0,https://pfaf.org/Admin/PlantImages/SemiarundinariaFastuosa.jpg
Hippophae rhamnoides,"Sea Buckthorn, Seaberry",Shrub,2.5,We,5,https://cdn.pixabay.com/photo/2017/10/29/12/40/sea-buckthorn-2899651__480.jpg
Allium ursinum,Wild Garlic,Bulb,0.3,M,3,https://cdn.pixabay.com/photo/2014/10/05/03/01/bears-garlic-474316__480.jpg
Chenopodium quinoa,"Quinoa, Goosefoot, Pigweed, Inca Wheat",Annual,0.3,M,0,https://pfaf.org/Admin/PlantImages/ChenopodiumQuinoa2.jpg
