Latin Name,Common Name,Moisture,Wind Resistance,Edibility,Medicinal Rating,image
Aesculus spp,Horse chestnut,M,W,4,4,https://pfaf.org/Admin/PlantImages/Aesculus_spp2.JPEG
Anacardium occidentale,"Cashew, Caju",M,W,5,3,https://pfaf.org/Admin/PlantImages/Anacardium_occidentale1.jpg
Annona salzmannii,Beach Sugar Apple,M,W,4,0,https://pfaf.org/Admin/PlantImages/Annona_salzmannii_2.jpg
Annona squamosa,"Sugar Apple, Sweetsop, Custard Apple",M,W,5,2,https://cdn.pixabay.com/photo/2018/12/21/19/50/sugar-apple-3888647__480.jpg
Araucaria araucana,Monkey Puzzle Tree,M,M,5,1,https://cdn.pixabay.com/photo/2015/10/26/13/23/tree-1007125_1280.jpg
Arbutus unedo,Strawberry Tree,M,M,4,2,https://cdn.pixabay.com/photo/2019/12/20/16/28/arbutus-4708806_1280.jpg
Artocarpus altilis,Breadfruit,M,W,5,4,https://cdn.pixabay.com/photo/2019/07/03/03/39/breadfruit-4313535_1280.jpg
Artocarpus camansi,"Breadnut, Kamansi",M,W,4,1,https://pfaf.org/Admin/PlantImages/Artocarpus%20camansi_2.jpg
Artocarpus mariannensis,"Seeded breadfruit, Marianas bread",M,W,4,3,https://pfaf.org/Admin/PlantImages/Artocarpus%20mariannensis_2.jpeg.jpg
Averrhoa carambola,"Carambola, Star Fruit",M,W,4,2,https://cdn.pixabay.com/photo/2014/01/14/19/27/averrhoa-carambola-245062__480.jpg
