Latin Name,Common Name,Habit,Width,Moisture,Medicinal Rating
Allium ampeloprasum,"Wild Leek, Broadleaf wild leek",Bulb,0.1,M,3
Allium canadense mobilense,Canadian Garlic,Bulb,0.2,We,2
Allium canadense mobilense,Canadian Garlic,Bulb,0.2,M,2
Allium cernuum,"Nodding Onion, New Mexican nodding onion",Bulb,0.3,M,2
Allium fistulosum,Welsh Onion,Bulb,0.2,M,2
Allium neapolitanum,"Daffodil Garlic, White garlic",Bulb,0.1,M,2
Allium paradoxum,Few-Flowered Leek,Bulb,0.1,M,2
Allium sativum,"Garlic, Cultivated garlic",Bulb,0.2,M,5
Allium sativum ophioscorodon,Serpent Garlic,Bulb,0.2,M,5
Allium schoenoprasum,"Chives, Wild chives, Flowering Onion",Bulb,0.3,M,2
Allium schoenoprasum sibiricum,Giant Chives,Bulb,0.3,M,2
Allium tuberosum,"Garlic Chives, Chinese chives, Oriental Chives,",Bulb,0.3,M,2
Allium ursinum,Wild Garlic,Bulb,0.3,M,3
Amelanchier alnifolia,"Saskatoon, Saskatoon serviceberry, Serviceberry",Shrub,3,M,2
Amelanchier confusa,,Shrub,3,M,0
Amelanchier lamarckii,Apple Serviceberry,Shrub,4,M,0
Amelanchier x grandiflora,Apple Serviceberry,Shrub,4,M,0
Atriplex halimus,"Sea Orach, Saltbush",Shrub,3,M,1
Camassia quamash,"Quamash, Small camas, Utah small camas, Walpole's small camas",Bulb,0.2,M,1
Caragana arborescens,"Siberian Pea Tree, Siberian peashrub",Shrub,4,M,1
Cephalotaxus harringtonia,Japanese Plum Yew,Shrub,3,M,0
Cephalotaxus harringtonia drupacea,Japanese Plum Yew,Shrub,3,M,0
Cephalotaxus harringtonia koreana,Korean Plum Yew,Shrub,3,M,0
Cephalotaxus harringtonia nana,Japanese Plum Yew,Shrub,3,M,0
Chenopodium quinoa,"Quinoa, Goosefoot, Pigweed, Inca Wheat",Annual,0.3,M,0
Corylus maxima,"Filbert, Giant filbert",Shrub,5,M,0
Crataegus festiva,,Shrub,3,M,2
Crataegus festiva,,Shrub,3,We,2
Cucurbita maxima,Winter Squash,Annual Climber,5,M,3
Cucurbita moschata,"Squash, Crookneck squash",Annual Climber,4,M,3
Elaeagnus cordifolia,,Shrub,4,M,2
Elaeagnus macrophylla,,Shrub,3,M,2
Elaeagnus multiflora,"Goumi, Cherry silverberry",Shrub,2,M,2
Elaeagnus multiflora ovata,Goumi,Shrub,2,M,2
Elaeagnus pungens,"Elaeagnus, Thorny olive, Thorny Elaeagnus, Oleaster, Silverberry, Silverthorn, Pungent Elaeagnus",Shrub,4,M,2
Elaeagnus x ebbingei,"Elaeagnus, Ebbing's Silverberry",Shrub,5,M,2
Gaultheria shallon,"Shallon, Salal",Shrub,1,M,2
Helianthus annuus,"Sunflower, Common sunflower",Annual,0.3,M,2
Hippophae rhamnoides,"Sea Buckthorn, Seaberry",Shrub,2.5,We,5
Hippophae rhamnoides,"Sea Buckthorn, Seaberry",Shrub,2.5,M,5
Hippophae rhamnoides turkestanica,Sea Buckthorn,Shrub,2.5,M,5
Hippophae rhamnoides turkestanica,Sea Buckthorn,Shrub,2.5,We,5
Lupinus mutabilis,"Pearl Lupin, Tarwi",Annual,0.3,M,0
Manihot esculenta,"Cassava, Tapioca Plant, Yuca",Shrub,3,M,2
Oryza sativa,"Rice, Common Rice",Annual,0.3,M,2
Oryza sativa,"Rice, Common Rice",Annual,0.3,We,2
Oryza sativa,"Rice, Common Rice",Annual,0.3,Wa,2
Passiflora ligularis,"Sweet Grenadilla, Passion Flower",Climber,0.5,M,0
Ribes uva-crispa,"Gooseberry, European gooseberry",Shrub,1,M,1
Rosa rugosa,"Ramanas Rose, Rugosa rose",Shrub,2,M,2
Rubus fruticosus,"Blackberry, Shrubby blackberry",Shrub,3,M,3
Rubus idaeus,"Raspberry, American red raspberry, Grayleaf red raspberry",Shrub,1.5,M,3
Rubus loganobaccus,Loganberry,Shrub,2.5,M,0
Rubus nepalensis,Nepalese Raspberry,Shrub,1,M,0
Rubus phoenicolasius,"Japanese Wineberry, Wine raspberry",Shrub,1,M,0
Salacca zalacca,"Salak Palm, Snake Palm",Shrub,4,M,0
Sauropus androgynus,"Sweet Leaf, Sweetleaf Bush, Katuk",Shrub,3,M,2
Semiarundinaria fastuosa,"Narihiradake, Narihira bamboo",Bamboo,3,M,0
Solanum lycopersicum,"Tomato, Garden Tomato",Annual,1.5,M,3
Ugni molinae,"U?i, Chilean guava",Shrub,1,M,0
