Latin Name,Common Name,Moisture,Wind Resistance,Edibility,Medicinal Rating,image
Crataegus illinoiensis,Crataegus illinoiensis,We,W,4,2,https://pfaf.org/Admin/PlantImages/CrataegusIllinoiensis.jpg
Crataegus laciniata,Crataegus laciniata,We,W,4,2,https://pfaf.org/Admin/PlantImages/CrataegusLaciniata2.gif
Crataegus missouriensis,Crataegus missouriensis,We,W,5,2,https://cdn.pixabay.com/photo/2018/09/02/19/30/hawthorn-3649643__480.jpg
Crataegus mollis,"Red Haw, Downy hawthorn",We,W,4,2,https://cdn.pixabay.com/photo/2015/03/27/00/18/rose-hip-693897__480.jpg
Crataegus pennsylvanica,Crataegus pennsylvanica,We,W,5,2,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Crataegus_pennsylvanica_fruit.jpg/440px-Crataegus_pennsylvanica_fruit.jpg
Crataegus pinnatifida major,Chinese Haw,We,W,4,3,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Crataegus_pinnatifida_fruit_%28detail%29%2C_Yongin.jpg/440px-Crataegus_pinnatifida_fruit_%28detail%29%2C_Yongin.jpg
Crataegus pontica,Crataegus pontica,We,W,4,2,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Crataegus_azarolus_var._pontica_kz01.jpg/440px-Crataegus_azarolus_var._pontica_kz01.jpg
Crataegus schraderana,Blue hawthorn,We,W,5,2,https://pfaf.org/Admin/PlantImages/CrataegusSchraderiana6.jpg
Crataegus submollis,Quebec Hawthorn,We,W,4,2,https://pfaf.org/Admin/PlantImages/CrataegusSubmollis2.gif
Crataegus tanacetifolia,Tansy-Leaved Thorn,We,W,5,2,https://pfaf.org/Admin/PlantImages/CrataegusTanacetifolia.jpg
Dictyosperma album,"Hurricane Palm, Princess Palm, Red Palm",M,M,4,2,https://pfaf.org/Admin/PlantImages/Dictyosperma-album4.jpg
Eriobotrya japonica,"Loquat, Japanese Loquat",M,M,4,3,https://cdn.pixabay.com/photo/2018/03/19/12/14/eriobotrya-japonica-3239850__480.jpg
Fagus sylvatica,"Beech, European beech, Common Beech",M,W,4,2,https://cdn.pixabay.com/photo/2015/05/22/21/02/branch-779799__480.jpg
Hippophae salicifolia,Willow-Leaved Sea Buckthorn,We,W,5,3,https://pfaf.org/Admin/PlantImages/hippophaesalicifolia4.jpg
Hippophae sinensis,Chinese Sea Buckthorn,We,W,5,3,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Seabuckthorn_berries%2C_Nubra_valley%2C_Ladakh.jpg/440px-Seabuckthorn_berries%2C_Nubra_valley%2C_Ladakh.jpg
Hippophae tibetana,Tibetan Sea Buckthorn,We,W,4,3,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Hippopha‘-rhamnoides.JPG/440px-Hippopha‘-rhamnoides.JPG
Mammea americana,"Mammee Apple, Mammey",M,W,4,2,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Mammea_americana1.jpg/440px-Mammea_americana1.jpg
Mangifera indica,"Mango, Bowen Mango",M,W,5,3,https://cdn.pixabay.com/photo/2014/04/10/16/35/mango-tree-321075__480.jpg
Manilkara zapota,"Sapodilla, Nispero",M,W,5,2,https://cdn.pixabay.com/photo/2014/02/23/04/48/manilkara-zapota-272618__480.jpg
Melicoccus bijugatus,"Mamoncillo, Spanish Lime, Guayo",M,W,4,2,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Melicoccus_bijugatus.jpg/440px-Melicoccus_bijugatus.jpg
Mespilus germanica,Medlar,M,W,4,1,https://cdn.pixabay.com/photo/2016/11/27/13/18/medlar-1862858__480.jpg
Metroxylon sagu,Sago Palm,We,M,4,0,https://cdn.pixabay.com/photo/2016/07/25/21/32/cikas-1541391__480.jpg
Moringa oleifera,"Horseradish Tree, Moringa,",We,W,4,4,https://cdn.pixabay.com/photo/2017/05/12/14/40/plant-2307261__480.jpg
Morus alba,"White Mulberry, Common Mulberry,",M,W,4,3,https://cdn.pixabay.com/photo/2013/03/01/19/37/alba-88456__480.jpg
Persea americana,"Avocado, Alligator Pear",M,W,5,3,https://cdn.pixabay.com/photo/2015/09/18/11/37/hass-avocado-945418__480.jpg
Pinus albicaulis,White-Bark Pine,M,W,4,2,https://pfaf.org/Admin/PlantImages/PinusAlbicaulis.jpg
Pinus cembra,"Swiss Stone Pine, Swiss Pine, Arolla Pine",M,W,4,2,https://cdn.pixabay.com/photo/2020/05/27/18/24/arve-5228362__480.jpg
Pinus pinea,"Italian Stone Pine, Umbrella Pine, Stone Pine",M,W,4,2,https://cdn.pixabay.com/photo/2020/02/13/11/52/tap-4845407__480.jpg
Pithecellobium dulce,"Manila Tamarind, Madras Thorn",M,W,4,2,https://cdn.pixabay.com/photo/2016/03/20/09/50/pithecellobium-dulce-1268215__480.jpg
Pouteria campechiana,"Canistel, Eggfruit, Yellow Sapote",We,M,4,2,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Pouteria_campechiana_02.JPG/2560px-Pouteria_campechiana_02.JPG
Pouteria sapota,"Sapote, Mamey Sapote",M,M,4,2,https://pfaf.org/Admin/PlantImages/Pouteria%20sapota%201.JPEG
Prunus cerasifera,"Cherry Plum, Myrobalan Plum, Newport Cherry Plum, Pissard Plum",M,W,4,1,https://cdn.pixabay.com/photo/2017/03/31/10/08/blood-plum-2190871__480.jpg
Prunus insititia,Damson,M,W,5,1,https://cdn.pixabay.com/photo/2019/07/26/21/50/plum-4365645__480.jpg
Quercus bicolor,Swamp White Oak,We,W,4,2,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Quercus_bicolor_morton_acc_71-69-2.jpg/440px-Quercus_bicolor_morton_acc_71-69-2.jpg
Quercus frainetto,"Hungarian Oak, Italian Oak, Forest Green Oak",M,W,4,2,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Quercus_frainetto_kew2.jpg/440px-Quercus_frainetto_kew2.jpg
Quercus ilex,"Holly Oak, Evergreen Oak",M,M,5,2,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Ghjandi.jpg/240px-Ghjandi.jpg
Quercus ilex ballota,Holm Oak,M,M,5,2,https://pfaf.org/Admin/PlantImages/QuercusIlexBallota2.jpg
Quercus ithaburensis macrolepis,Valonia Oak,M,W,4,2,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Quercia_vallonea_Tricase_3.JPG/440px-Quercia_vallonea_Tricase_3.JPG
Quercus prinus,Rock Chestnut Oak,M,W,4,2,https://pfaf.org/Admin/PlantImages/QuercusPrinus.jpg
Quercus robur,"Pedunculate Oak, English oak",We,W,4,3,https://cdn.pixabay.com/photo/2011/11/16/12/21/shaft-oak-10383__480.jpg
Sorbus domestica,Service Tree,M,W,5,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Sorbus_domestica_FruitsLeaves_BotGardBln0906a.JPG/440px-Sorbus_domestica_FruitsLeaves_BotGardBln0906a.JPG
Sorbus latifolia,French Hales,M,W,4,0,https://pfaf.org/Admin/PlantImages/SorbusLatifolia2.jpg
Sorbus mougeotii,Sorbus mougeotii,M,W,4,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Sorbus_mougeotii4.jpg/440px-Sorbus_mougeotii4.jpg
Sorbus torminalis,"Wild Service Tree, Checkertree",M,W,4,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/ElsbeerFrucht.jpeg/480px-ElsbeerFrucht.jpeg
