Latin Name,Common Name,Habit,Width,Moisture,Medicinal Rating,image
Allium ampeloprasum,"Wild Leek, Broadleaf wild leek",Bulb,0.1,M,3,https://cdn.pixabay.com/photo/2015/03/27/02/39/leek-field-694211_1280.jpg
Allium cernuum,"Nodding Onion, New Mexican nodding onion",Bulb,0.3,M,2,https://plants.usda.gov/gallery/standard/alce2_002_svp.jpg
Allium fistulosum,Welsh Onion,Bulb,0.2,M,2,https://cdn.pixabay.com/photo/2014/06/14/00/10/allium-fistulosum-368575__480.jpg
Allium neapolitanum,"Daffodil Garlic, White garlic",Bulb,0.1,M,2,https://pfaf.org/Admin/PlantImages/AlliumNeapolitanum2.jpg
Allium paradoxum,Few-Flowered Leek,Bulb,0.1,M,2,https://pfaf.org/Admin/PlantImages/AlliumParadoxum.jpg
Allium sativum,"Garlic, Cultivated garlic",Bulb,0.2,M,5,https://cdn.pixabay.com/photo/2016/12/12/00/22/garlic-1900608__480.jpg
Allium sativum ophioscorodon,Serpent Garlic,Bulb,0.2,M,5,https://pfaf.org/Admin/PlantImages/AlliumSativumOphioscorodon.jpg
Allium schoenoprasum,"Chives, Wild chives, Flowering Onion",Bulb,0.3,M,2,https://cdn.pixabay.com/photo/2019/05/28/09/47/allium-4234771__480.jpg
Allium schoenoprasum sibiricum,Giant Chives,Bulb,0.3,M,2,https://pfaf.org/Admin/PlantImages/AlliumSchoenoprasumSibiricum.jpg
Allium tuberosum,"Garlic Chives, Chinese chives, Oriental Chives,",Bulb,0.3,M,2,https://cdn.pixabay.com/photo/2019/03/17/07/26/pollination-4060408__480.jpg
Amelanchier alnifolia,"Saskatoon, Saskatoon serviceberry, Serviceberry",Shrub,3,M,2,https://pfaf.org/Admin/PlantImages/AmelanchierAlnifolia3.jpg
Amelanchier confusa,Amelanchier confusa,Shrub,3,M,0,https://pfaf.org/Admin/PlantImages/AmelanchierConfusa3.jpg
Amelanchier lamarckii,Apple Serviceberry,Shrub,4,M,0,https://cdn.pixabay.com/photo/2018/04/18/23/21/copper-rock-pear-3331892__480.jpg
