Year,Apr,Nov,Dec
number,number,number,number
1965,121.4,66.1,88.8
1966,58.4,47.5,105.9
1967,17.5,20.1,40.1
1968,67.2,44.5,53.6
1969,27.7,42.1,40.7
1970,87,67,119.7
1971,54.6,157,41.3
1972,67.8,48.6,0.8
1973,33,68.1,48.8
1974,123.2,62.3,54
1975,22.6,65.6,66.8
1976,38.5,105.2,36.6
1977,84.1,39.6,27.2
1978,58.2,143.8,103.8
1979,55.5,36.4,10.8
1980,85,43.4,79.8
1981,16.2,62.8,30.2
1982,43.2,18.4,40.8
1983,48,87.2,10.6
1984,53.1,65.4,67.2
1985,68.5,82.2,148
1986,58.1,41,58.2
1987,21.7,74.8,91.9
1988,8.2,163.4,80.3
1989,71,35.8,71
1990,94.2,52.5,25.7
1991,37.7,20.5,106.1
1992,39,177,98.4
1993,27.4,,
1999,35.4,35.4,131.2
2000,42.2,40.9,41
2001,42,30,25
2002,43.2,28,11
2003,68.2,15.4,65.4
2004,51.2,118,51.2
2005,26.8,56,60.4
2006,47.8,28.8,14.4
2007,22.8,58,76.6
2008,17.2,46.4,75.8
2009,37.2,94.2,43.2
2010,,114.2,85.2
2011,96.9,113.2,79
2012,56.6,39.8,27.6
2013,23.4,61.6,43.2
2014,76.4,59.2,36.8
2015,,46.4,
2016,49.7,36.4,47.7
2017,142.7,46.2,119.2
2018,19,69.6,117.3
2019,11.6,60.8,4.4
